ARTIST	TITLE	Sample ID#	Chart Date	Target Rank	Actual Rank	Peak Rank	Weeks on Chart	
The Music Machine	The People In Me	643	1967-01-28	99	100	66	8	
The O'Jays	Love Train	202	1973-04-21	29	28	1	14	
The Osmonds	One Bad Apple	432	1971-01-09	65	64	1	15	
The Pointer Sisters	Jump (for My Love)	448	1984-05-26	22	22	3	24	
The Pointer Sisters	Jump (for My Love)	850	1984-04-28	64	62	3	24	
The Police	Don't Stand So Close To Me	492	1981-03-21	14	15	10	18	
The Police	Don't Stand So Close To Me	881	1981-04-04	11	12	10	18	
The Police	Every Little Thing She Does Is Magic	293	1981-12-26	18	20	3	19	
The Police	Spirits In The Material World	148	1982-03-27	30	31	11	13	
The Power Station	Some Like It Hot	44	1985-04-06	25	24	6	18	
The Rascals	People Got To Be Free	191	1968-07-20	66	64	1	14	
The Rembrandts	Someone	414	1991-06-01	91	93	78	10	
The Righteous Brothers	(You're My) Soul And Inspiration	785	1966-03-05	92	90	1	13	
The Righteous Brothers	(You're My) Soul And Inspiration	1151	1966-03-26	9	8	1	13	
The Righteous Brothers	Unchained Melody	587	1965-08-14	6	6	4	13	
The Righteous Brothers	Unchained Melody	1007	1990-10-20	25	25	13	44	
The Ritchie Family	The Best Disco In Town	925	1976-10-23	26	25	17	20	
The Robert Cray Band	Smoking Gun	55	1987-03-07	56	56	22	14	
The Robert Cray Band	Smoking Gun	329	1987-03-07	58	56	22	14	
The Rolling Stones	Dandelion	264	1967-09-16	43	42	14	8	
The Rolling Stones	Doo Doo Doo Doo Doo (Heartbreaker)	345	1974-03-02	25	25	15	11	
The Rolling Stones	Going To A Go-Go	512	1982-06-12	67	66	25	11	
The Rolling Stones	Have You Seen Your Mother, Baby, Standing In The Shadow?	244	1966-11-12	17	16	9	7	
The Rolling Stones	Honky Tonk Women	229	1969-07-19	78	79	1	15	
The Rolling Stones	Honky Tonk Women	1266	1969-10-04	7	6	1	15	
The Rolling Stones	It's Only Rock 'N Roll (But I Like It)	39	1974-09-14	17	17	16	10	
The Rolling Stones	Miss You	958	1978-07-29	3	3	1	20	
The Rolling Stones	Not Fade Away	457	1964-06-13	76	78	48	13	
The Rolling Stones	Time Is On My Side	387	1964-11-14	18	18	6	13	
The Rolling Stones	Time Is On My Side	597	1964-11-07	31	30	6	13	
The Rolling Stones	Time Is On My Side	780	1964-10-24	64	65	6	13	
The Rolling Stones	Tumbling Dice	130	1972-06-24	24	24	7	10	
The Rolling Stones	Waiting On A Friend	278	1982-01-09	19	20	13	15	
The Rolling Stones	Waiting On A Friend	332	1982-02-27	34	35	13	15	
The Rolling Stones	Wild Horses	94	1971-06-19	83	85	28	8	
The Ronettes	Be My Baby	120	1963-09-28	1	3	2	13	
The Ronettes	Be My Baby	903	1963-09-28	3	3	2	13	
The Shirelles	Will You Love Me Tomorrow	1239	1961-01-09	6	5	1	19	
The Sopwith Camel	Hello Hello	964	1967-01-07	63	65	26	10	
The Staple Singers	City In The Sky	497	1974-08-31	82	81	79	7	
The Staple Singers	I'll Take You There	46	1972-07-01	12	12	1	15	
The String-A-Longs	Wheels	147	1961-02-06	32	32	3	16	
The String-A-Longs	Wheels	318	1961-04-03	12	12	3	16	
The String-A-Longs	Wheels	863	1961-02-06	33	32	3	16	
The Supremes	Floy Joy	320	1972-01-08	100	98	16	12	
The Supremes	Stoned Love	649	1970-11-07	61	61	7	14	
The Tee Set	Ma Belle Amie	109	1970-01-24	83	83	5	12	
The Temptations	Ain't Too Proud To Beg	468	1966-08-20	41	42	13	13	
The Temptations	I Wish It Would Rain	900	1968-02-24	4	4	4	14	
The Trammps	Disco Inferno	546	1977-03-12	80	79	11	29	
The Trammps	Disco Inferno	1016	1977-04-16	54	53	11	29	
The Turtles	Happy Together	1290	1967-04-22	2	2	1	15	
The Ventures	Perfidia	926	1960-11-07	44	44	15	13	
The Weather Girls	It's Raining Men	651	1983-01-29	80	78	46	11	
The Who	Happy Jack	891	1967-04-22	82	83	24	9	
The Who	Pinball Wizard	421	1969-04-26	48	46	19	11	
The Yardbirds	Heart Full Of Soul	579	1965-07-31	86	86	9	12	
The Yardbirds	Shapes Of Things	990	1966-05-28	36	36	11	11	
The Youngbloods	Get Together	72	1969-09-06	5	5	5	25	
The Youngbloods	Get Together	1136	1969-09-20	8	7	5	25	
Thelma Houston	Don't Leave Me This Way	1086	1977-05-28	65	64	1	24	
Tina Turner	Private Dancer	524	1985-05-11	78	80	7	18	
Tina Turner	Private Dancer	1098	1985-03-09	17	15	7	18	
Tina Turner	Private Dancer	1183	1985-04-27	65	64	7	18	
Tina Turner	The Best	348	1989-11-04	14	15	15	14	
Tina Turner	We Don't Need Another Hero (Thunderdome)	1031	1985-09-07	1	3	2	18	
Tina Turner	What You Get Is What You See	1104	1987-03-07	33	32	13	14	
Tina Turner	What's Love Got To Do With It	150	1984-09-29	7	6	1	28	
Todd Rundgren	A Dream Goes On Forever	895	1974-05-11	77	78	69	6	
Todd Rundgren	Can We Still Be Friends	1076	1978-09-02	91	93	29	15	
Tom Jones	She's A Lady	210	1971-02-20	22	24	2	14	
Tom Jones	She's A Lady	260	1971-04-17	4	4	2	14	
Tom T. Hall	I Love	606	1973-12-29	58	57	12	16	
Tom T. Hall	The Year That Clayton Delaney Died	1194	1971-10-23	40	42	42	12	
Tommy James	Crystal Blue Persuasion	528	1969-07-05	8	7	2	15	
Tommy James	Mony Mony	928	1968-05-25	13	12	3	17	
Tracie Spencer	This House	530	1990-12-22	87	89	3	23	
Tracy Chapman	Baby Can I Hold You	747	1989-01-14	52	52	48	12	
U2	With Or Without You	681	1987-06-27	38	38	1	18	
UB40	Red Red Wine	83	1984-04-07	33	34	1	40	
UB40	The Way You Do The Things You Do	139	1990-09-29	79	79	6	25	
UB40	The Way You Do The Things You Do	885	1990-10-06	60	61	6	25	
Urban Dance Squad	Deeper Shade Of Soul	339	1991-02-16	27	28	21	18	
Van Halen	When It's Love	1281	1988-07-30	30	29	29	2	
Village People	In The Navy	306	1979-05-12	4	5	3	18	
Wang Chung	Dance Hall Days	886	1984-08-25	69	71	16	22	
Waylon Jennings	Are You Sure Hank Done It This Way	1139	1975-10-11	71	70	60	9	
Waylon Jennings	Theme From The Dukes Of Hazzard (Good Ol' Boys)	802	1980-09-20	87	86	21	23	
Wednesday	Last Kiss	263	1974-03-02	35	34	34	18	
Wednesday	Last Kiss	362	1974-02-09	42	43	34	18	
Wham!	Wake Me Up Before You Go-Go	542	1984-10-27	6	6	1	24	
Whitesnake	Here I Go Again	300	1987-09-26	1	2	1	28	
Wild Cherry	Play That Funky Music	1014	1976-07-24	47	47	1	25	
Willie Mitchell	20-75	1247	1964-10-31	40	40	31	10	
Willie Nelson	Blue Eyes Crying In The Rain	126	1975-11-01	28	29	21	18	
Wilson Phillips	Hold On	385	1990-04-14	23	25	1	25	
Wilson Phillips	Hold On	628	1990-03-31	44	43	1	25	
Wilson Phillips	Hold On	911	1990-05-26	4	4	1	25	
Wilson Pickett	Don't Knock My Love - Pt. 1	677	1971-06-05	20	20	13	12	
Wilson Pickett	I Found A True Love	943	1968-10-05	50	49	42	7	
Wilson Pickett	I'm In Love	1221	1967-12-02	83	82	45	10	
Wilson Pickett	In The Midnight Hour	1018	1965-07-10	85	83	21	12	
Wilson Pickett	Soul Dance Number Three	1021	1967-07-01	60	60	55	5	
Yaz	Situation	594	1982-10-16	74	73	73	8	
Young MC	Bust A Move	1106	1990-04-07	76	74	7	39	
Yvonne Elliman	If I Can't Have You	34	1978-03-04	30	29	1	22	
ZZ Top	La Grange	140	1974-06-29	43	41	41	19	
		1	1987-07-11	82				
		2	1973-08-04	14				
		5	1976-07-10	51				
		7	1972-10-07	37				
		8	1963-04-13	67				
		9	1991-05-25	48				
		11	1960-01-25	97				
		13	1973-08-18	14				
		14	1969-01-04	56				
		17	1981-02-28	91				
		20	1976-03-06	66				
		24	1978-08-26	20				
		28	1962-09-15	94				
		31	1971-12-04	93				
		32	1975-04-05	15				
		36	1969-05-17	61				
		38	1971-09-11	73				
		42	1963-09-21	94				
		45	1974-01-19	93				
		47	1965-01-16	87				
		48	1980-04-26	19				
		52	1965-01-02	86				
		57	1984-02-18	81				
		58	1972-05-20	87				
		60	1960-03-07	67				
		63	1972-01-15	68				
		65	1960-04-11	11				
		69	1959-06-29	20				
		76	1984-10-13	79				
		80	1961-06-05	38				
		82	1961-04-10	65				
		84	1979-12-15	57				
		87	1972-09-16	68				
		90	1975-11-22	86				
		93	1987-12-12	67				
		96	1964-10-24	73				
		98	1981-11-07	84				
		103	1959-02-16	11				
		108	1967-11-25	21				
		110	1980-03-15	72				
		113	1984-10-20	76				
		117	1966-02-19	41				
		118	1969-05-10	77				
		121	1970-09-12	67				
		125	1972-10-07	76				
		129	1975-05-24	58				
		132	1978-04-29	72				
		135	1985-07-13	94				
		136	1964-08-15	76				
		137	1991-09-14	76				
		138	1963-07-13	78				
		142	1970-01-17	96				
		143	1963-10-12	77				
		144	1976-07-24	74				
		146	1975-05-10	82				
		151	1990-02-03	80				
		152	1986-06-21	76				
		156	1965-05-01	61				
		161	1974-06-08	86				
		163	1972-06-10	84				
		164	1960-08-29	24				
		165	1964-10-03	73				
		166	1964-02-29	12				
		171	1964-07-04	77				
		173	1972-06-03	71				
		174	1984-05-26	71				
		175	1981-02-28	66				
		178	1983-11-26	99				
		186	1988-10-08	67				
		189	1961-09-18	87				
		197	1983-02-26	81				
		200	1975-03-22	92				
		201	1983-10-15	58				
		211	1968-03-16	59				
		219	1981-06-13	17				
		225	1982-02-13	76				
		226	1962-05-12	60				
		230	1977-09-10	76				
		232	1990-06-09	52				
		233	1966-11-05	13				
		237	1985-07-27	54				
		243	1961-04-24	69				
		252	1970-10-03	96				
		255	1981-07-18	77				
		262	1961-09-18	91				
		266	1973-01-06	86				
		272	1960-01-25	40				
		273	1988-11-19	89				
		274	1965-11-06	68				
		277	1962-10-06	77				
		283	1980-08-30	57				
		285	1986-11-01	35				
		286	1991-02-09	89				
		287	1980-08-23	73				
		298	1969-12-27	64				
		299	1973-06-16	50				
		301	1972-02-05	69				
		305	1974-08-03	31				
		311	1989-09-30	46				
		313	1980-02-23	51				
		316	1988-02-06	80				
		321	1963-01-05	33				
		327	1966-07-30	80				
		328	1967-11-18	63				
		333	1971-09-11	53				
		337	1979-08-25	34				
		340	1987-08-29	52				
		342	1990-03-17	37				
		344	1983-04-09	94				
		350	1973-06-23	61				
		357	1987-02-28	77				
		363	1964-09-26	98				
		365	1977-04-23	86				
		368	1986-07-12	39				
		373	1991-09-07	29				
		374	1971-10-16	98				
		375	1960-04-11	61				Two versions of this song released this year...
		376	1983-02-12	30				
		379	1961-04-10	57				
		388	1959-08-10	96				
		392	1977-12-24	2				
		394	1974-09-14	33				
		398	1959-02-23	92				
		405	1986-06-28	33				
		408	1966-12-31	57				
		409	1987-08-08	19				
		411	1981-06-06	82				
		413	1965-08-21	51				
		416	1968-03-02	69				
		420	1962-07-14	45				
		422	1969-08-09	75				
		423	1974-11-30	60				
		424	1988-05-14	28				
		428	1959-03-02	24				
		431	1977-02-26	77				
		435	1959-10-19	97				
		436	1975-03-29	76				
		437	1966-10-29	65				
		438	1963-08-24	55				
		440	1984-03-03	48				
		441	1966-03-19	58				
		447	1989-09-16	70				
		449	1968-08-10	59				
		453	1973-04-28	83				
		459	1981-02-07	68				
		460	1984-09-15	84				
		462	1963-09-07	35				
		466	1987-08-15	21				
		470	1987-05-30	48				
		486	1986-03-08	83				
		487	1986-03-08	48				
		488	1965-11-20	10				
		489	1984-12-22	72				
		491	1986-01-18	25				
		493	1984-06-16	80				
		495	1963-11-23	59				
		496	1962-08-04	97				
		498	1985-04-06	100				
		499	1965-07-10	69				
		505	1963-05-25	2				
		509	1963-04-27	71				
		513	1972-11-18	29				
		514	1989-01-21	19				
		519	1972-07-01	61				
		520	1973-05-05	83				
		523	1972-07-08	80				
		527	1964-05-30	72				
		529	1983-05-21	93				
		532	1962-06-23	94				
		534	1965-04-24	87				
		535	1968-05-04	51				
		536	1981-07-11	40				
		538	1989-09-30	82				
		541	1970-01-17	14				
		544	1965-10-23	74				
		548	1987-10-03	82				
		551	1984-05-26	44				
		556	1979-09-01	41				
		557	1961-10-23	15				
		558	1979-01-06	73				
		563	1968-11-09	81				
		564	1971-05-08	97				
		566	1972-11-18	57				
		569	1962-03-10	33				
		575	1991-01-12	65				
		576	1968-11-09	44				
		581	1970-10-24	5				
		584	1987-01-31	68				
		586	1974-07-13	92				
		593	1980-03-15	43				
		595	1959-08-03	84				
		602	1991-04-06	88				
		604	1978-07-01	41				
		609	1964-11-21	66				
		611	1987-04-18	38				
		612	1970-12-19	88				
		613	1971-02-13	52				
		622	1980-08-16	61				
		624	1959-07-20	99				
		626	1991-08-10	82				
		630	1961-06-26	68				
		632	1967-12-02	15				
		639	1986-05-31	91				
		641	1981-07-04	61				
		642	1963-11-23	68				
		644	1987-05-09	80				
		646	1984-01-28	6				
		652	1964-09-19	83				
		653	1974-09-14	32				
		661	1969-01-25	47				
		665	1984-11-24	70				
		666	1962-04-28	76				
		667	1989-12-16	69				
		673	1971-06-19	93				
		676	1961-07-10	49				
		679	1958-12-01	87				
		686	1960-06-20	75				
		693	1961-08-14	73				
		694	1962-11-03	12				
		697	1989-06-10	91				
		702	1969-08-30	80				
		703	1960-02-08	25				
		704	1960-08-08	77				
		710	1991-03-23	57				
		712	1964-03-14	10				
		714	1983-12-10	80				
		715	1966-09-10	29				
		717	1971-09-18	64				
		718	1991-01-26	2				
		719	1984-07-28	51				
		724	1986-11-22	91				
		732	1967-12-23	91				
		738	1963-09-28	47				
		739	1971-10-30	66				
		744	1961-03-27	67				
		745	1977-06-18	87				
		750	1959-03-02	44				
		753	1975-05-17	47				
		754	1986-10-18	97				
		756	1962-01-20	89				
		760	1972-08-12	79				
		763	1974-04-20	95				
		764	1962-02-03	34				
		771	1963-08-10	44				
		774	1958-11-17	56				
		778	1976-09-04	42				
		784	1984-10-27	88				
		786	1980-08-02	86				
		799	1963-06-29	79				
		801	1986-09-27	35				
		808	1959-11-09	62				
		815	1990-03-10	77				
		817	1958-09-01	90				
		820	1965-10-09	82				
		825	1989-07-01	17				
		826	1968-11-02	87				
		829	1990-09-08	50				
		835	1989-08-26	81				
		836	1961-04-03	86				
		840	1963-04-20	94				
		851	1977-10-08	91				
		854	1969-10-18	43				
		855	1987-02-07	26				
		858	1986-10-25	99				
		860	1976-01-03	91				
		862	1960-03-07	87				
		866	1968-11-16	68				
		867	1967-08-19	58				
		868	1976-06-12	27				
		869	1970-01-03	52				
		871	1958-10-13	28				
		876	1971-02-13	71				
		877	1986-04-12	62				
		878	1966-11-26	49				
		880	1976-02-21	91				
		883	1988-11-26	14				
		892	1962-08-04	99				
		897	1986-08-16	95				
		899	1980-05-24	71				
		906	1970-07-04	45				
		907	1964-04-04	22				
		908	1968-02-10	79				
		912	1973-03-17	57				
		918	1984-09-15	47				
		919	1989-08-19	87				
		921	1979-03-10	86				
		922	1987-03-14	48				
		924	1985-08-03	49				
		930	1976-02-21	52				
		931	1976-04-17	77				
		934	1982-07-03	61				
		936	1986-10-18	87				
		937	1963-03-16	17				
		938	1980-07-05	19				
		939	1991-01-26	8				
		942	1971-04-03	91				
		949	1982-12-18	42				
		951	1983-11-26	53				
		953	1975-09-13	92				
		955	1979-04-21	60				
		957	1974-09-21	83				
		959	1964-04-25	52				
		960	1991-06-22	66				
		962	1974-10-19	11				
		966	1965-08-07	74				
		971	1968-10-19	78				
		972	1963-10-19	78				
		975	1963-02-02	40				
		976	1966-07-16	6				
		977	1970-01-31	17				
		980	1977-02-19	74				
		983	1963-11-30	47				
		989	1979-10-27	51				
		994	1986-01-11	77				
		997	1964-01-25	75				
		998	1971-10-09	18				
		1000	1986-04-05	35				
		1001	1967-11-11	14				
		1004	1985-08-24	36				
		1005	1961-04-17	73				
		1008	1964-01-11	70				
		1010	1975-09-13	39				
		1015	1961-08-14	16				
		1017	1986-07-19	30				
		1023	1981-11-28	30				
		1026	1962-09-08	52				
		1028	1968-05-11	49				
		1029	1991-11-09	69				
		1030	1980-11-15	88				
		1035	1971-11-20	30				
		1036	1989-03-11	39				
		1038	1982-02-13	80				
		1047	1988-12-17	86				
		1049	1963-10-05	41				
		1050	1975-07-05	12				
		1057	1963-01-26	96				
		1060	1960-07-25	44				
		1065	1962-10-20	67				
		1074	1986-06-28	45				
		1075	1966-08-06	100				
		1077	1978-03-04	89				
		1079	1972-07-08	47				
		1080	1972-10-21	50				
		1081	1963-07-20	63				
		1083	1986-06-21	78				
		1088	1989-10-07	76				
		1090	1982-06-19	89				
		1092	1988-03-19	68				
		1095	1977-07-09	91				
		1105	1973-09-15	62				
		1108	1963-01-05	99				
		1115	1979-10-06	57				
		1122	1990-09-08	64				
		1128	1976-12-25	35				
		1129	1988-12-17	26				
		1130	1980-01-19	43				
		1131	1967-09-09	24				
		1137	1991-03-30	48				
		1144	1989-09-30	38				
		1156	1966-09-17	75				
		1158	1990-04-07	81				
		1159	1976-06-12	64				
		1165	1969-10-11	83				
		1172	1985-10-05	31				
		1175	1990-08-18	9				
		1176	1960-08-15	67				
		1179	1968-06-15	81				
		1184	1977-01-08	91				
		1185	1989-02-04	70				
		1187	1984-12-08	47				
		1189	1960-12-12	75				
		1191	1972-05-06	43				
		1195	1991-01-12	20				
		1196	1985-04-06	12				
		1198	1972-03-04	21				
		1199	1963-10-05	12				
		1202	1961-11-13	50				
		1205	1975-07-26	58				
		1206	1975-04-05	89				
		1207	1978-03-11	76				
		1209	1986-06-21	87				
		1214	1961-05-01	60				
		1215	1965-03-20	79				
		1216	1988-04-30	6				
		1219	1966-07-02	74				
		1224	1958-10-06	79				
		1230	1985-08-10	86				
		1231	1975-06-28	55				
		1233	1971-04-17	84				
		1236	1958-11-10	24				
		1238	1985-06-22	82				
		1241	1963-03-16	94				
		1243	1960-01-04	95				
		1251	1968-04-27	73				
		1252	1990-08-18	81				
		1254	1977-10-22	77				
		1255	1964-10-17	1				
		1259	1968-03-23	99				
		1262	1969-05-10	75				
		1264	1973-11-03	8				
		1275	1963-09-14	11				
		1278	1963-02-23	46				
		1284	1979-01-20	85				
		1288	1986-09-06	48				
		1291	1982-07-24	86				
		1293	1991-02-02	95				
		1294	1979-03-10	93				
		1295	1982-03-20	84				
		1298	1988-02-20	52				
		1299	1969-05-31	100				
